Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Signzy,None,5400000,Bangalore,It is creating 'building blocks for a digital trust system.,Fintech,2020,2015,Gennext ventures
Ahaguru,Series A,0,Chennai,"It is conducting iit jee coach for physics, math and chemistry easily.",Edtech,2020,2012,Anand mahindra
Tekion,Series C,150000000,San ramon,It is a cloud-built platform with advanced machine learning and ai capabilities for a personalized and seamless consumer experience.,AI,2020,2016,Alliance ventures
Brighteye ventures,None,5400000,Paris,Education technology venture capital firm.,Edtech,2020,2017,Tandem
Ezerx,Seed,200000,Kolkata,Developer and manufacturer of medical devices,Medtech,2020,2018,Indian oil corporation
Vitaltech,Seed,3000000,Plano,"Vitaltech is a develop technologies that empower patients to better care for their safety,",Heathtech,2020,2018,Tech mahindra
Genius teacher,None,2000000,Mumbai,"Genius teacher creates engaging educational content, delivers fun learning experience to the students",Edtech,2020,2016,Whiteboard capital
Ultraviolette automotive,Series B,4000000,Bangalore,Ultraviolette automotive is a technology startup working on electric two-wheelers and energy infrastructure.,Automobiles,2020,2014,Tvs motor company
Tring,None,0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",Social media,2020,2019,Sujeet kumar
Rare planet,Series B,400000,Kolkata,Rare planet sells handicrafts made by local artisans.,Retail startup,2020,2015,Venture catalysts
Goodgamer,Seed,2500000,Bangalore,Goodgamer is india's first daily fantasy sports and true esports gaming platform.,Gaming,2020,2020,None
Innaccel,Series B,1500000,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global emerging markets.",Medtech,2020,2012,Mount judi ventures
Tiliter,None,7500000,Sydney,Software that uses computer vision to recognise products without barcodes,Retail,2020,2017,Angellist
Slintel,None,4200000,San francisco bay area,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",Sles and marketing,2020,2016,Accel
Soolegal,None,4000000,New delhi,"Soolegal is a global integrated directory of lawyers, legal aid organizations, and law firms.",Legaltech,2020,2015,None
Hobspace,Seed,200000,Mumbai,India's activity hub for kids,Edtech,2020,2019,Artha venture
Supplynote,Seed,500000,Noida,Supplynote is india's leading procurement platform with a unique stack of saas and e-commerce to solve the procurement problem,Saas,2020,2015,Mox
Hire me car,Seed,0,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Car service,2020,,None
Shopup,Series A,22000000,Bangaldesh,"Shopup provides easy access to b2b sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",E-commerce,2020,2017,Flourish ventures
Harmonizer india,None,0,Bangalore,"Energy-efficient solutions based on the artificial intelligence, machine learning and internet of things technology,",Tech startup,2020,2019,Kapil dev
Zomato,None,52000000,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,Foodtech,2020,2008,Kora
Dukaan,Seed,6000000,Mumbai,Developer of an android application designed for businesses to sell online.,Tech startup,2020,2020,Lightspeed
Credr,None,2000000,Mumbai,India’s only 100% inspected and certified used bikes marketplace.,Bike marketplace,2020,2014,Eight roads ventures
Satyukt,Seed,500000,Bangalore,An agritech company that provides business to business (b2b) agricultural data,Agri tech,2020,2018,Nabventures
Racenergy,None,0,Hyderabad,Racenergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,Automobiles,2020,2018,Growx ventures
Tread,Seed,1100000,Bangalore,A homegrown fitness startup that aims to advance the 'fit india' initiative by offering holistic and affordable workouts.,Fitness startup,2020,2020,Better capital
Anveshan,Seed,100000,Bangalore,Provide quality and healthy food products,Foodtech,2020,2019,Titan capital
Teamonk,Series B,900000,Bangalore,India's finest specialty tea company.,Food and Beverages,2020,2016,Lead angels network
Fleetx,Series B,3000000,Gurugram,"Fleetx is an intelligent data platform which uses ai, machine learning, sensors and predictive analytics to help fleet owners.",Tech startup,2020,2017,Rohit bansal
Renewate,Seed,0,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Real estate,2020,2018,Real estate accelerator program
Tango eye,Seed,0,Chennai,Retail video analytics saas product,Saas,2020,2018,Riso investments
Rare planet,Series B,0,Kolkata,Rare planet sells handicrafts made by local artisans.,Reatil startup,2020,2015,Venture catalysts
Avataa me,Series A,7000000,Bangalore,Avataar.me is a deep-tech 3d ar platform which delivers personalized fashion discovery experience to users on mobile devices.,Ar platform,2020,2014,Sequoia capital india
Arrival,None,118000000,London,Arrival is a technology company that specializes in developing electric vehicles.,Ev startup,2020,2015,Ups ventures
Cover genius,None,15000000,Sydney,Cover genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,Fintech,2020,2014,King river capital
Phononic vibes,None,2300000,Milano,"Phononic vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",Deeptech,2020,2018,None
Mikelegal,Seed,0,Gurugram,Mikelegal is an ai powered legal associate that aims to build an ecosystem of legal tools,Legaltech,2020,2017,Sosv
Clair,Seed,4500000,New york,Clair is a social fintech that provides instant pay access as a service for human capital management and gig platforms.,Fintech,2020,2019,Upfront ventures
Gourmet garden,None,0,Palmwoods,Gourmet garden is a global market leader in chilled convenient packaged herbs.,Consumer goods,2020,1999,Advent partners
Miko,Series B,3000000,Mumbai,"Miko is an advanced robotics startup founded by three iit bombay post-graduates on the pillars of robotics, ai & iot.",AI,2020,2015,Stride ventures
Razorpay,Series D,100000000,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",Fintech,2020,2014,Tiger global management
Ninjacart,None,30000000,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",Food and Beverages,2020,2015,Syngenta ventures
Wow! momo,Debt,5000000,Kolkata,Wow! momo is a chain of fast-food restaurants that specializes in momos.,Food and Beverages,2020,2008,Tiger global management
Pepper content,Series A,4200000,Mumbai,Pepper content is a content-mediation platform that connects talented writers to organisations that require content.,Content marketplace,2020,2017,Alok mittal
Livspace,Debt,4000000,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",Interior design,2020,2014,Mercer investments
Acculi labs,Seed,600000,Bangalore,Acculi labs is a clinical grade smartphone based diagnostic tool,Healthcare,2020,2017,Startup basket.
Your md,None,25000000,London,Your.md is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,Healthcare,2020,2012,Orkla ventures
Antaios,None,11000000,France,Developer of memory-based technology intended to solve issues of advanced computing.,Tech company,2020,2016,None
Unnati,Series B,1700000,Noida,A helping hand to the farming community through artificial intelligence,Agritech,2020,2017,Nabventures
Disprz,Series B,1600000,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",Edtech,2020,2015,Xseed partners
Uni,Seed,18500000,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Fintech,2020,,Lightspeed india partners
Credit wise capital,Seed,6000000,Mumbai,Creditwise capital is a consumer finance company.,Fintech,2020,1994,Venture catalysts
Chargebee,Series D,55000000,San francisco bay area,Chargebee is a pci level 1 certified subscription and recurring billing system for saas and subscription based ecommerce businesses,Saas,2020,2011,Accel
Reliance retail ventures ltd,None,70000000000,Mumbai,"Reliance retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Retail,2020,2006,Silver lake
Winuall,None,2000000,Bangalore,"Winuall specializes in the fields of e-learning, online quizzes, and tests, study material for competitive exams.",Edtech,2020,2019,Amit lakhotia
Genrobotics,None,300000,Trivandrum,Genrobotic specializes in powered robotic exoskeletons with rc controlled humanoid robotic systems and artificial intelligence.,AI,2020,2015,Unicorn india ventures
Livve,Seed,1500000,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Rental space,2020,2015,None
Ergos,Series A,5000000,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,Agritech,2020,2012,Aavishkaar venture capital
Krishitantra,Seed,1000000,Hyderabad,Krishi-tantra is an agri-iot startup building farm automation for controlled agricultural environment.,Soil-tech,2020,2017,Nabventures
Pakkaprofile,Seed,0,Bangalore,"Pakkaprofile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",Recruitment startup,2020,2019,Java capital
Monet networks,Seed,500000,Irvine,Monet networks using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,AI,2020,2014,Senseai ventures
Unocoin,Series A,0,Tumkur,"Unocoin is an indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",Fintech,2020,2013,Digital finance group
Pesto,None,0,New delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,Edtech,2020,2017,Sriharsha majety
Nirogstreet,Series B,2000000,Gurugram,Nirogstreet is an ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ayurveda tech,2020,2016,Wavemaker partners
Bambrew,Seed,0,Bangalore,Bambrew is an online shop for reusable bamboo straws.,Packaging solution startup,2020,2018,Upsparks
Omnify,Series B,0,San francisco bay area,Omnify is a global saas platform for small services business,Saas,2020,2016,Saurabh arora
Fanball xi,Seed,1000000,New delhi,The gaming company mostly focused on fantasy football games,Gaming,2020,,Foxhog ventures
Treebo hotels,None,6000000,Bangalore,"Treebo is india's tech-enabled, asset-light affordable accommodation brand.",Hospitality,2020,2015,Ramesh mangaleswaran
